open,high,low,close,volume,symbol,date,ta
33.5,34.18,32.665,33.0,2394429,ALE,2022-03-25,0
33.5,34.79,33.045,34.5,3848148,ALE,2022-03-28,0
34.8,36.2,34.14,36.2,4645042,ALE,2022-03-29,0
36.2,36.66,35.65,36.5,2798934,ALE,2022-03-30,0
36.6,36.645,35.57,35.57,3120009,ALE,2022-03-31,0
35.56,35.985,34.845,35.1,2390256,ALE,2022-04-01,0
35.6,35.68,31.725,32.7,6506338,ALE,2022-04-04,0
32.8,33.33,32.32,32.8,2530326,ALE,2022-04-05,0
32.7,32.77,29.92,30.16,4671279,ALE,2022-04-06,0
30.48,30.54,29.035,29.035,2813313,ALE,2022-04-07,0
29.45,29.505,28.64,28.71,2751705,ALE,2022-04-08,0
28.785,29.45,27.82,28.36,2962390,ALE,2022-04-11,0
28.3,28.36,27.525,27.8,2872104,ALE,2022-04-12,0
28.0,28.18,26.72,26.795,4428572,ALE,2022-04-13,0
27.0,28.485,27.0,27.9,2349689,ALE,2022-04-14,0
28.18,28.21,26.31,27.02,3311956,ALE,2022-04-19,0
27.49,28.52,27.05,27.905,4952265,ALE,2022-04-20,0
27.85,28.96,27.165,28.045,4326791,ALE,2022-04-21,0
27.9,27.9,26.85,27.0,1820030,ALE,2022-04-22,0
26.44,27.48,26.1,27.055,2051746,ALE,2022-04-25,0
27.59,27.59,24.615,24.615,6510479,ALE,2022-04-26,0
24.9,24.95,23.86,24.05,3535628,ALE,2022-04-27,0
24.57,24.85,23.125,24.35,4645352,ALE,2022-04-28,0
25.0,25.42,23.005,23.035,5744588,ALE,2022-04-29,0
22.59,23.36,22.22,22.935,3069207,ALE,2022-05-02,0
23.2,23.45,22.375,22.575,4123966,ALE,2022-05-04,0
23.4,23.425,21.22,21.235,5201244,ALE,2022-05-05,0
21.02,22.15,20.61,21.95,4276409,ALE,2022-05-06,0
21.85,22.64,21.475,22.295,2662355,ALE,2022-05-09,0
22.32,22.96,21.23,21.82,3584953,ALE,2022-05-10,0
22.1,23.25,21.52,22.375,3487543,ALE,2022-05-11,0
21.7,22.67,20.7,22.44,3963700,ALE,2022-05-12,0
23.0,23.145,21.83,23.0,3570236,ALE,2022-05-13,0
22.88,23.32,21.925,22.295,2553630,ALE,2022-05-16,0
22.595,24.13,22.25,23.86,2847867,ALE,2022-05-17,0
23.86,24.265,23.15,23.345,2189861,ALE,2022-05-18,0
22.81,23.42,22.465,23.4,4383117,ALE,2022-05-19,0
23.6,24.94,23.47,24.29,2964570,ALE,2022-05-20,0
24.865,25.185,23.23,23.495,7659350,ALE,2022-05-23,0
23.15,23.33,22.21,22.27,5307555,ALE,2022-05-24,0
22.5,22.72,22.01,22.3,2008161,ALE,2022-05-25,0
21.7,23.6,21.3,23.45,5584021,ALE,2022-05-26,0
23.58,24.935,23.52,24.7,10293575,ALE,2022-05-27,0
24.83,25.225,24.52,25.03,3514722,ALE,2022-05-30,0
25.0,25.25,24.61,25.11,6122222,ALE,2022-05-31,0
25.0,25.12,23.7,23.7,3199105,ALE,2022-06-01,0
23.605,23.965,23.36,23.775,1279778,ALE,2022-06-02,0
24.0,24.3,22.79,22.89,2305695,ALE,2022-06-03,0
23.015,23.4,22.93,23.01,1216522,ALE,2022-06-06,0
22.88,22.88,22.205,22.38,2251286,ALE,2022-06-07,0
22.46,22.6,21.305,21.415,3116662,ALE,2022-06-08,0
21.5,21.9,20.56,20.795,3118856,ALE,2022-06-09,0
20.73,21.66,20.45,21.2,2216544,ALE,2022-06-10,0
20.7,21.0,19.938,20.125,2580832,ALE,2022-06-13,0
20.3,20.6,19.612,19.686,3595967,ALE,2022-06-14,0
19.83,20.32,19.414,20.235,5353056,ALE,2022-06-15,0
19.99,21.1,19.78,20.615,5958956,ALE,2022-06-17,0
20.9,21.78,20.835,21.47,2587729,ALE,2022-06-20,0
21.66,22.59,21.18,22.485,4989568,ALE,2022-06-21,0
22.035,22.97,21.7,22.43,3501969,ALE,2022-06-22,0
22.4,22.99,21.82,22.83,2718603,ALE,2022-06-23,0
22.9,23.72,22.34,23.455,2765276,ALE,2022-06-24,0
23.605,24.36,23.16,24.075,4111348,ALE,2022-06-27,0
24.0,24.8,23.725,23.925,4251045,ALE,2022-06-28,0
23.1,24.415,22.41,23.995,2475827,ALE,2022-06-29,0
24.07,24.165,23.545,23.845,1721615,ALE,2022-06-30,0
23.66,24.52,23.01,23.22,2079266,ALE,2022-07-01,0
23.3,23.405,22.62,22.71,1310567,ALE,2022-07-04,0
22.835,23.24,21.87,22.82,1989506,ALE,2022-07-05,0
23.0,27.15,23.0,26.42,9665798,ALE,2022-07-06,0
26.42,28.12,26.2,27.5,4814188,ALE,2022-07-07,0
27.705,27.735,26.56,26.875,2942650,ALE,2022-07-08,0
26.52,27.7,26.005,27.47,2070565,ALE,2022-07-11,0
27.295,27.35,25.4,25.6,2525756,ALE,2022-07-12,0
25.45,25.895,24.34,24.82,3102692,ALE,2022-07-13,0
24.9,25.19,24.12,24.455,2843499,ALE,2022-07-14,0
24.67,26.1,24.59,25.0,2825339,ALE,2022-07-15,0
25.5,25.715,24.62,25.605,2443317,ALE,2022-07-18,0
25.45,25.96,24.725,25.86,1726038,ALE,2022-07-19,0
26.5,27.94,26.4,27.49,3724207,ALE,2022-07-20,0
27.39,27.4,26.52,26.57,3291295,ALE,2022-07-21,0
26.99,27.595,26.15,26.88,3337954,ALE,2022-07-22,0
26.5,26.765,25.565,25.725,1985422,ALE,2022-07-25,0
25.66,25.705,24.43,24.65,2269835,ALE,2022-07-26,0
25.0,25.05,23.455,23.71,2748401,ALE,2022-07-27,0
24.38,24.48,23.09,23.4,3835634,ALE,2022-07-28,0
23.62,25.035,23.62,25.035,3661597,ALE,2022-07-29,0
25.085,25.4,24.25,24.95,2114188,ALE,2022-08-01,0
24.91,25.195,24.3,25.045,1467850,ALE,2022-08-02,0
24.73,25.675,24.635,25.345,1857323,ALE,2022-08-03,0
25.645,27.99,25.485,26.71,6429282,ALE,2022-08-04,0
26.935,27.15,25.62,25.865,2027420,ALE,2022-08-05,0
26.3,26.4,25.225,25.565,1322585,ALE,2022-08-08,0
25.5,27.13,25.5,26.955,2773168,ALE,2022-08-09,0
26.655,27.72,26.14,27.535,4665215,ALE,2022-08-10,0
27.94,29.15,27.305,28.5,2854068,ALE,2022-08-11,0
28.6,28.665,27.9,28.275,2106822,ALE,2022-08-12,0
28.5,29.92,28.5,29.45,3008137,ALE,2022-08-16,0
29.74,29.74,27.72,28.175,3322278,ALE,2022-08-17,0
27.8,28.715,27.33,27.825,1442749,ALE,2022-08-18,0
27.61,28.0,27.025,27.2,1706128,ALE,2022-08-19,0
26.94,27.075,26.06,26.095,1999010,ALE,2022-08-22,0
26.0,26.38,25.56,25.7,2053804,ALE,2022-08-23,0
25.6,26.01,24.85,25.0,2477077,ALE,2022-08-24,0
25.55,26.46,25.43,25.8,1913084,ALE,2022-08-25,0
25.99,26.025,25.0,25.21,2156835,ALE,2022-08-26,0
24.705,24.88,23.71,24.345,1810898,ALE,2022-08-29,0
24.6,25.2,23.92,24.12,1379071,ALE,2022-08-30,0
24.51,25.045,24.25,24.8,3177837,ALE,2022-08-31,0
24.5,24.98,24.165,24.205,3029554,ALE,2022-09-01,0
24.8,25.185,24.26,25.105,1512229,ALE,2022-09-02,0
24.8,25.1,23.74,23.74,1781361,ALE,2022-09-05,0
24.08,25.1,23.985,24.185,2036798,ALE,2022-09-06,0
24.2,24.64,23.93,24.36,2211218,ALE,2022-09-07,0
24.735,25.59,24.54,25.48,2861373,ALE,2022-09-08,0
25.8,26.695,25.4,26.0,3181461,ALE,2022-09-09,0
26.405,26.44,25.41,26.185,2177314,ALE,2022-09-12,0
26.2,27.0,25.55,25.825,1956685,ALE,2022-09-13,0
25.56,25.9,24.93,25.45,1480791,ALE,2022-09-14,0
25.4,26.155,25.12,25.885,1231857,ALE,2022-09-15,0
