index,open,high,low,close,volume,symbol,date,ta
708,67.0034,69.1448,66.7362,68.4085,1260276.8506106,PKN,2021-05-31,0
710,68.4085,70.4488,67.9067,68.3083,1485633.3129296,PKN,2021-06-01,0
712,68.3249,69.0103,67.1703,67.89,1221448.3451447,PKN,2021-06-02,0
714,68.1237,68.8768,67.7231,68.1914,810970.53322224,PKN,2021-06-04,0
716,68.3918,69.6967,68.0069,68.1914,639628.47211439,PKN,2021-06-07,0
718,68.158,68.3083,67.2214,67.7397,894170.89683497,PKN,2021-06-08,0
720,68.158,68.4251,65.9833,67.1369,1664464.7610204,PKN,2021-06-09,0
722,66.9032,69.2283,66.5517,69.2283,1329815.1429986,PKN,2021-06-10,0
724,69.0103,69.0771,67.6554,68.0235,731778.31745237,PKN,2021-06-11,0
726,68.3918,69.4955,68.2248,69.4955,848604.10534481,PKN,2021-06-14,0
728,69.7634,69.9304,68.5588,68.8935,912080.10257125,PKN,2021-06-15,0
730,68.7933,69.6967,67.6554,67.6554,1193366.273546,PKN,2021-06-16,0
732,67.4718,68.8101,67.3215,68.0736,1034354.786509,PKN,2021-06-17,0
734,67.9401,68.0736,65.1801,65.6651,3653339.1303268,PKN,2021-06-18,0
736,65.4981,66.4516,64.0431,66.1334,1020048.5893107,PKN,2021-06-21,0
738,67.1203,67.5553,66.2346,66.4683,1013279.576429,PKN,2021-06-22,0
740,66.8531,67.0702,66.5184,66.6519,579510.80659843,PKN,2021-06-23,0
742,66.8865,66.9867,66.0166,66.7697,1036169.947159,PKN,2021-06-24,0
744,66.8865,67.238,66.0833,66.3848,762513.14107311,PKN,2021-06-25,0
746,66.318,66.3848,65.7494,66.0667,416304.53451064,PKN,2021-06-28,0
748,65.6651,65.6985,63.3242,64.3946,1519937.0041356,PKN,2021-06-29,0
750,64.4613,64.8128,63.4411,64.21,1241202.3003567,PKN,2021-06-30,0
752,64.3778,66.2178,64.2267,65.0799,1087299.4378701,PKN,2021-07-01,0
754,65.6484,66.0667,64.7451,64.7451,581056.2537224,PKN,2021-07-02,0
756,64.9798,65.5149,64.7451,65.0632,533962.22361636,PKN,2021-07-05,0
758,65.3145,65.6484,63.1564,63.29,810140.90807248,PKN,2021-07-06,0
760,63.29,63.8092,62.4376,62.7214,1701368.8547877,PKN,2021-07-07,0
762,62.7214,62.7715,60.4807,61.3498,1821028.3417514,PKN,2021-07-08,0
764,61.6512,62.6213,61.0826,62.3374,1232096.9082809,PKN,2021-07-09,0
766,62.4043,63.3076,61.9359,63.1397,834788.39983306,PKN,2021-07-12,0
768,63.391,63.4077,62.1362,62.2364,679961.45556101,PKN,2021-07-13,0
770,62.7214,63.1898,62.5545,62.9561,631893.27027227,PKN,2021-07-14,0
772,62.3199,63.1397,61.8181,61.9526,1144451.3926312,PKN,2021-07-15,0
774,61.9692,62.5378,61.8858,61.986,768809.87077629,PKN,2021-07-16,0
776,61.986,62.153,59.4773,59.9456,1632721.6412643,PKN,2021-07-19,0
778,60.2128,61.1494,59.5775,60.631,1345926.2585611,PKN,2021-07-20,0
780,61.2285,62.2126,60.8067,61.8963,938385.7065996,PKN,2021-07-21,0
782,62.0721,62.283,60.3674,60.385,1165699.5835381,PKN,2021-07-22,0
784,60.3322,61.0704,60.1213,60.9824,731234.33827324,PKN,2021-07-23,0
786,60.9824,62.2654,60.1037,61.8085,839758.18450932,PKN,2021-07-26,0
788,61.8436,61.9667,60.8243,61.0176,613674.51989849,PKN,2021-07-27,0
790,61.2285,63.232,61.2285,62.863,1054625.408138,PKN,2021-07-28,0
792,64.6379,65.2706,63.7417,63.7417,2130753.9262961,PKN,2021-07-29,0
794,63.7417,64.2513,63.4604,64.0932,1276244.574172,PKN,2021-07-30,0
796,64.8488,64.8488,63.2847,63.478,741864.69290135,PKN,2021-08-02,0
798,64.6906,65.7802,63.8471,64.7434,1619728.7327118,PKN,2021-08-03,0
800,65.0245,65.5517,64.4446,64.9543,739711.53681995,PKN,2021-08-04,0
802,65.2706,65.833,64.6204,65.6397,811219.76217669,PKN,2021-08-05,0
804,65.4639,65.5869,64.3391,65.0245,807768.11186226,PKN,2021-08-06,0
806,64.9191,64.9367,64.0756,64.0756,416694.87940278,PKN,2021-08-09,0
808,64.058,65.13,63.9701,64.9719,594967.55390161,PKN,2021-08-10,0
810,64.8312,65.7275,64.761,65.4639,733181.5106069,PKN,2021-08-11,0
812,65.4639,66.6414,65.2178,66.4129,729795.86613429,PKN,2021-08-12,0
814,66.571,66.571,65.3234,65.9032,528671.51398505,PKN,2021-08-13,0
816,65.5869,66.4305,64.8839,65.0069,527780.43512049,PKN,2021-08-16,0
818,64.9191,65.2178,64.6028,65.2003,544633.54738767,PKN,2021-08-17,0
820,65.2003,65.2003,64.1634,64.4797,499015.54446851,PKN,2021-08-18,0
822,63.7065,63.7065,61.3691,62.16,1516176.9472155,PKN,2021-08-19,0
824,62.1424,62.8278,61.5976,62.7575,659094.50529219,PKN,2021-08-20,0
826,63.0563,64.0756,63.0563,63.7065,1016596.9389962,PKN,2021-08-23,0
828,64.1458,65.4463,63.9877,65.3408,967131.25071173,PKN,2021-08-24,0
830,65.2882,65.2882,64.4621,65.2354,478755.16512537,PKN,2021-08-25,0
832,65.0245,65.0245,63.8822,63.8822,513794.02484542,PKN,2021-08-26,0
834,64.0404,64.7258,63.5308,64.6379,363309.80975235,PKN,2021-08-27,0
836,64.6379,65.13,64.4271,64.9894,499568.62790169,PKN,2021-08-30,0
838,64.9894,65.7978,64.304,65.2882,2047115.4204575,PKN,2021-08-31,0
840,65.4639,65.6045,64.7082,64.7082,603396.95511459,PKN,2021-09-01,0
842,64.6204,64.9367,63.2671,64.5852,909990.67626816,PKN,2021-09-02,0
844,64.7961,65.6221,64.4446,65.3408,679088.58520454,PKN,2021-09-03,0
846,65.2706,65.4639,64.7258,65.4639,307512.11278026,PKN,2021-09-06,0
848,65.376,66.2899,65.1476,66.0438,833161.0144227,PKN,2021-09-07,0
850,65.8856,66.6062,64.9543,66.0614,1047724.3835726,PKN,2021-09-08,0
852,65.6748,66.0614,65.253,65.5517,738020.42163127,PKN,2021-09-09,0
854,65.7627,65.9032,65.1124,65.4991,600935.39242744,PKN,2021-09-10,0
856,65.8681,67.6431,65.376,67.6431,1250806.1503413,PKN,2021-09-13,0
858,67.6607,70.9295,67.4322,70.7362,2299313.4997617,PKN,2021-09-14,0
860,70.4725,70.5605,69.0314,69.6817,1631568.815096,PKN,2021-09-15,0
862,69.5762,69.5938,67.5377,67.7486,1144652.8242519,PKN,2021-09-16,0
864,67.854,68.3285,66.3602,66.8523,2775310.0759118,PKN,2021-09-17,0
866,65.9912,66.3778,63.7241,65.2178,1282644.8647649,PKN,2021-09-20,0
868,65.2178,66.7644,65.2178,65.956,905930.17896454,PKN,2021-09-21,0
870,66.3426,68.346,66.3426,68.1001,689145.37182788,PKN,2021-09-22,0
872,68.8909,69.0314,66.8875,67.1686,845244.63560258,PKN,2021-09-23,0
874,67.2389,69.3303,66.9753,69.3303,1793557.3932054,PKN,2021-09-24,0
876,69.506,70.6307,69.4533,70.1386,1807307.0928753,PKN,2021-09-27,0
878,70.1738,70.1914,68.8381,69.9101,1157368.0530561,PKN,2021-09-28,0
880,69.6466,70.4198,69.0138,70.2968,974748.09725128,PKN,2021-09-29,0
882,70.2968,72.353,70.1562,72.0718,3014160.1807558,PKN,2021-09-30,0
884,71.404,72.1772,70.824,71.4567,934101.01704015,PKN,2021-10-01,0
886,71.1755,72.5814,71.0877,71.9839,1168816.6525164,PKN,2021-10-04,0
888,72.0542,72.0542,70.5955,72.0191,991499.92469222,PKN,2021-10-05,0
890,71.7203,71.9839,70.3847,71.6676,1466256.0462288,PKN,2021-10-06,0
892,71.6852,71.7027,70.4198,70.9295,953526.08107475,PKN,2021-10-07,0
894,71.1579,74.1631,71.0701,74.005,2372048.5233509,PKN,2021-10-08,0
896,74.4443,76.9398,73.4074,76.8344,2007152.2973314,PKN,2021-10-11,0
